"","state","year","SuicideMean","PovertyPercentage","mentalHealthMean","SZscore","PZscore","MZscore"
"195","New York",2013,8.1,14.5,3.7,-1.56733838102123,0.238934914408412,-0.134753151969928
"196","New York",2014,8.1,14,3.7,-1.56733838102123,0.0933473321523904,-0.134753151969928
"197","New York",2015,7.8,14.2,3.7,-1.6375725230586,0.151582365054799,-0.134753151969928
"198","New York",2016,8.1,11.9,3.6,-1.56733838102123,-0.518120513322901,-0.326541358959686
"199","North Carolina",2011,12.3,15.4,3.7,-0.5840603924981,0.500992562469252,-0.134753151969928
"200","North Carolina",2012,12.7,17.2,3.9,-0.490414869781612,1.02510785859093,0.248823262009588
"201","North Carolina",2013,12.6,18.6,3.6,-0.513826250460734,1.43275308890779,-0.326541358959686
"202","North Carolina",2014,13.1,17.1,3.7,-0.396769347065123,0.995990342139726,-0.134753151969928
"203","North Carolina",2015,13.4,15.3,3.7,-0.326535205027756,0.471875046018047,-0.134753151969928
"204","North Carolina",2016,13,13.6,3.9,-0.420180727744245,-0.0231227336524272,0.248823262009588
"205","North Dakota",2011,14.9,9.9,2.9,0.0246355051590762,-1.10047084234699,-1.66905880788799
"206","North Dakota",2012,15.2,11.4,2.8,0.0948696471964425,-0.663708095578923,-1.86084701487775
"207","North Dakota",2013,17.3,9.9,2.7,0.586508641458009,-1.10047084234699,-2.05263522186751
"208","North Dakota",2014,17.8,9.7,2.9,0.703565544853619,-1.1587058752494,-1.66905880788799
"209","North Dakota",2015,17.5,10.7,3.3,0.633331402816253,-0.867530710737354,-0.901905979928961
"210","North Dakota",2016,19,11.1,3.1,0.984502113003085,-0.751060644932536,-1.28548239390848
"211","Ohio",2011,12.3,15.1,4.2,-0.5840603924981,0.413640013115638,0.824187882978863
"212","Ohio",2012,13,15.4,4.1,-0.420180727744245,0.500992562469252,0.632399675989104
"213","Ohio",2013,12.9,13.7,3.9,-0.443592108423367,0.00599478279877709,0.248823262009588
"214","Ohio",2014,12.6,15.6,4.3,-0.513826250460734,0.55922759537166,1.01597608996862
"215","Ohio",2015,13.9,13.6,3.9,-0.209478301632146,-0.0231227336524272,0.248823262009588
"216","Ohio",2016,14.2,13.7,4.2,-0.139244159594779,0.00599478279877709,0.824187882978863
"217","Oklahoma",2011,18.5,13.9,4.6,0.867445209607475,0.0642298157011861,1.5913407109379
